"644TB - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS FÓRMICA - (TRIBAL)",2652,,,
"647PEH - 12"" - 9 COL. - PELE HOLOGRÁFICA - 32 PRATINELAS - MAD. ENVERN.","2486,25",,,
"647PEP - 12"" - 9 COL. - PELE POROSA - 32 PRATINELAS - MAD. ENVERN","2486,25",2600,,
"647PP - 12"" - 9 COL. - PELE NYLON - 32 PRATINELAS FÓRMICA - (2 CORES)","2734,875",2800,3000,3100
PROFISSIONAL 2 AFINAÇÃO ,,sub,,
"641PECR - 10""- 14 COL. - PELE HOLOG. - 24 PRATINELAS - 6 ABAFAD. ","2403,375",,,
"641PECRP - 10""- 14 COL. - PELE POROSA / HD PRETA - 24 PRATINELAS - 6 ABAFAD. ","2403,375",,,
"644PECR - 11""- 16 COL. - PELE HOLOG. - 28 PRATINELAS - 7 ABAFADORES ","2569,125",,,
"644PECRP - 11""- 16 COL. - PELE POROSA / HD PRETA - 28 PRATINELAS - 7 ABAFAD. ","2569,125",,,
"647PECR - 12"" 18 COL. - PELE HOLOG. - 32 PRATINELAS - 8 ABAFADORES ","2734,875",,,
CHORO ,,sub,,
"628PECRA - 8"" - 5 COLUNAS - PELE ANIMAL - 8 PRATINELAS - 4 ABAFADORES ",1521,,,
"640PECRA - 10"" - 7 COLUNAS - PELE ANIMAL - 24 PRATINELAS - 6 ABAFADORES ",1911,,,
"643PECRA - 11""- 8 COLUNAS - PELE ANIMAL - 28 PRATINELAS - 7 ABAFADORES ",2145,,,
CHORINHO ESPECIAL ,,sub,,
"650CRA - 10""- 7 COLUNAS - PRATINELA LINHA TITANIUM","1852,5",,,
"650CRA4 - 10""- 7 COLUNAS -PRATINELA COM 4 CHUVEIRINHOS ",2340,,,
"650CRA8 - 10""- 7 COLUNAS - PRATINELA COM 8 CHUVEIRINHOS ",2496,,,
"650-LT - 10""- 7 COLUNAS - PRATINELA DE LATÃO CONCAVAS","1930,5",1980,2150,2200
"651CRA - 11"" - 8 COLUNAS - PRATINELA LINHA TITANIUM ","2437,5",,,
"651CRAC - 11""- 8 COLUNAS - 7 PARES DE PRATINELAS DE LATÃO CONCAVAS ",2535,,,
CHAVE DE AFINAÇÃO ,,sub,,
854G - CHAVE DE AFINAÇÃO ESTAMPADA PEQUENA ,"44,85",,,
"850G - CHAVE DE AFINAÇÃO PEQUENA REFORÇADA ""T""",156,,,
ACESSÓRIOS ,,sub,,
841CP - TIRANTE PARA PANDEIRO COM PORCA (PACOTE COM 18) ,312,,,
"850P - COLUNA PARA PANDEIRO DE ALUMÍNIO, COMPLETO (PACOTE COM 18)",351,,,
PRATO,,categoria,,
"770B - 13"" PAR DE PRATOS PARA BANDA EM LATÃO - LIGA SONORA ",2652,,,
ACESSÓRIOS ,,sub,,
851 - CORREIA PARA PRATO EM COURO- PAR ,"134,55",,,
REBOLO,,categoria,,
RETO ALUMINIO,,sub,,
"LAL5012SMN - 50cm x 12"" - 6 COLUNAS - PELE NAPA","2270,775",,,
"LAL5012SMCR - 50cm x 12"" - 6 AFINAÇOES - PELE NAPA - CROMADO ","2436,525",,,
RETO MADEIRA ,0,sub,,
"LME5012SMN - 50cm x 12"" - 6 COLUNAS - PELE NAPA - REFORÇO INF. ","2121,6",,,
"LME5012SMCR - 50cm x 12"" - 6 AFINAÇOES - PELE NAPA - REFORÇO INF. - CROMADO","2453,1",,,
CÔNICO ALUMINIO,0,sub,,
"LAL4510TMA - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL ","2204,475",,,
"LAL4510TMAP - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ","2318,8425",,,
"LAL4510TMAPP - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO (2 CORES) ","2569,125",,,
"LAL4510TMACRP - 45cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO - CROMADO ","2701,725",,,
"LAL5511TMA - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL ","2983,5",,,
"LAL5511TMAP - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ","3132,675",,,
" LAL5511TMAPP - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO (2 CORES) ","3397,875",3300,3600,3680
"LAL5511TMACR - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - CROMADO","3182,4",,,
"LAL5511TMACRP - 55cm x 11"" - 5 AFINAÇOES - PELE ANIMAL - CROMADO - PINTADO ","3480,75",,,
"LAL4512TMA - 45cm x 12"" - 6 AFINAÇÕES - PELE ANIMAL ","2983,5",,,
"LAL4512TMAPP - 45cm x 12"" - 6 AFINAÇÕES - PELE ANIMAL - (2 CORES) ","3563,625",,,
"LAL4512TMACR - 45cm x 12"" - 6 AFINAÇOES - PELE ANIMAL - CROMADO","3149,25",,,
"LAL4512TMACRP - 45cm x 12"" - 6 AFINAÇOES - PELE ANIMAL - PINTADO - CROMADO ",3315,,,
CONICO MADEIRA,,sub,,
"LME5010TMA - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL","1823,25",,,
"LME5010TMAP - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ","2154,75",,,
"LME5010TMAPP - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO (2 CORES)","2370,225",,,
"LME5010TMACR - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL ","2121,6",,,
"LME5010TMACRP - 50cm x 10"" - 5 AFINAÇOES - PELE ANIMAL - PINTADO ","2320,5",,,
"LME4512TMA - 45cm x 12"" - 6 AFINAÇÕES - PELE ANIMAL","2635,425",,,
POP LINE by GOPE ,,categoria,,
RETO,,sub,,
"RFE5012SM 50cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA ",1989,,,
"RFE5012SMP 50cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA - PINTADO ","2187,9",,,
CÔNICO ,,sub,,
"RFE4512TMN - 45cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA ","2154,75",,,
"RFE4512TMNP - 45cm x 12"" - ARO REDONDO - 6 COLUNAS - PELE NAPA -PINTADO","2370,225",,,
CHAVE DE AFINAÇÃO ,,sub,,
890G - CHAVE DE AFINAÇÃO ESTAMPADA ,"41,4375",,,
ACESSÓRIOS ,,sub,,
844G - TIRANTE PARA REBOLO/TIMBA/TAMTAM COM PORCA (PACOTE COM 6),"265,2",,,
"851C - COLUNA REBOLO/TIMBA/TAMTAM, COMPLETO - EPOXI (PACOTE COM 6) ",663,,,
"843G - TIRANTE REBOLO/TAMTAM ""POP LINE"" COM PORCA (PACOTE COM 6)","232,05",,,
"855C - COLUNA REBOLO/TAMTAM ""POP LINE"" COMPLETO (PACOTE COM 6) ","480,675",,,
842 - TALABARTE DE COURO 2 GANCHOS ,"331,5",,,
842N - TALABARTE DE NYLON 2 GANCHOS,"162,435",,,
RECO-RECO,,categoria,,
FERRO ,,sub,,
763 2 - MOLAS PINTURA EPOXI - GUIRO ,"487,5",,,
764 3 - MOLAS PINTURA EPOXI - GUIRO ,663,,,
764P - 3 MOLAS PINTURA EPOXI - QUADRADO ,"760,5",,,
ALUMÍNIO ,,sub,,
767 - 4 MOLAS COM REFORÇO NAS LATERIAIS,1014,,,
767P - 4 MOLAS COM REFORÇO NAS LATERIAIS - PINTADO ,"1111,5",,,
ACESSÓRIOS ,,sub,,
BA35 - BAQUETA DE RECO PARA REPOSIÇÃO ,"97,5",,,
2024FR - MOLA DE RECO (PACOTE COM 3 UNIDADES),"175,5",,,
REPINIQUE,,categoria,,
ALUMÍNIO ,,sub,,
"BAL3008R - 30cm x 8"" - ARO - 5 AFINAÇÕES - BACURINHA","1657,5",,,
"BAL3010R - 30cm x 10"" - ARO - 6 AFINAÇÕES ","2071,875",2100,2300,2380
"BAL3010RCR - 30cm x 10"" - ARO - 6 AFINAÇÕES ","2237,625",,,
"BAL3012R - 30cm x 12"" - ARO - 7 AFINAÇÕES","2254,2",,,
"BAL3012RPP - 30cm x 12"" - ARO - 7 AFINAÇÕES 2 COORES","2727,582",,,
 BAL3012RCR - REPINIQUE ALUMINIO ARO CROMADO 12X30 7 TENSORES,2350,2380,2550,2650
"BAL3012R12 - 30cm x 12"" - ARO - 12 AFINAÇÕES ","2635,425",,,
"BAL3012R12CR - 30cm x 12"" - ARO - 12 AFINAÇÕES ","2751,45",,,
CHAVE DE AFINAÇÃO ,,sub,,
888G - CHAVE DE AFINAÇÃO TUBULAR ,"48,75",,,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",195,,,
