"632PFH - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA ",$ 1.572,
"635PE - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ",$ 1.476,
"635PEA - 12"" - 12 TIRANTES - 12 PRATINELAS -PELE ANIMAL - MADEIRA ENVERN.",$ 1.732,
"635PF - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE NYLON - FÓRMICA",$ 1.572,
"635PFH - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA ",$ 1.668,
PROFISSIONAL 1 AFINAÇÃO ,,sub
"641PEH - 10"" - 7 COL. - PELE HOLOGRAFICA - 24 PRATINELAS - MAD. ENVERN. ",$ 2.580,
"641PEP - 10"" - 7 COL. - PELE POROSA - 24 PRATINELAS - MAD. ENVERN. ",$ 2.580,
"641PP - 10"" - 7 COL. - PELE POROSA - 24 PRATINELAS FÓRMICA - (2 CORES) ",$ 2.788,
"644PEH - 11"" - 8 COL. - PELE HOLOGRAFICA - 28 PRATINELAS - MAD. ENVERN. ",$ 2.740,
"644PEP - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS - MAD. ENVERN.",$ 2.740,
"644PP - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS FÓRMICA - (2 CORES) ",$ 2.964,
"644TB - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS FÓRMICA - (TRIBAL)",$ 3.060,
"647PEH - 12"" - 9 COL. - PELE HOLOGRÁFICA - 32 PRATINELAS - MAD. ENVERN.",$ 2.900,
"647PEP - 12"" - 9 COL. - PELE POROSA - 32 PRATINELAS - MAD. ENVERN",$ 2.900,
"647PP - 12"" - 9 COL. - PELE NYLON - 32 PRATINELAS FÓRMICA - (2 CORES)",$ 3.140,
PROFISSIONAL 2 AFINAÇÃO ,,sub
"641PECR - 10""- 14 COL. - PELE HOLOG. - 24 PRATINELAS - 6 ABAFAD. ",$ 2.820,
"641PECRP - 10""- 14 COL. - PELE POROSA / HD PRETA - 24 PRATINELAS - 6 ABAFAD. ",$ 2.820,
"644PECR - 11""- 16 COL. - PELE HOLOG. - 28 PRATINELAS - 7 ABAFADORES ",$ 2.980,
"644PECRP - 11""- 16 COL. - PELE POROSA / HD PRETA - 28 PRATINELAS - 7 ABAFAD. ",$ 2.980,
